student_id,session_id,hint_condition,db_experience,hint_latency,revision_count,trust_score,adopted,task_success
ST_052,S_001,actionable,0,67.04469756999691,1,2,1,1
ST_093,S_002,actionable,1,300.0,5,5,1,0
ST_015,S_003,actionable,0,227.79493602977334,4,5,1,0
ST_072,S_004,actionable,0,32.42606370565576,3,4,1,1
ST_061,S_005,conceptual,0,58.61132360825043,2,3,0,0
ST_021,S_006,actionable,0,115.84686731497743,6,3,1,1
ST_083,S_007,conceptual,1,75.79088058836983,2,1,1,1
ST_087,S_008,conceptual,1,11.366097783245861,5,5,1,0
ST_075,S_009,actionable,0,23.95307309599458,2,2,1,1
ST_075,S_010,conceptual,0,5.531853772523546,2,4,1,1
ST_088,S_011,conceptual,0,123.20895145766835,3,3,0,0
ST_100,S_012,actionable,0,37.27390810354473,2,4,1,1
ST_024,S_013,actionable,0,10.384149016739348,4,4,1,0
ST_003,S_014,actionable,0,44.55318156693001,3,5,0,1
ST_022,S_015,actionable,0,38.50681738972287,2,3,1,1
ST_053,S_016,actionable,1,17.736818491884243,6,1,1,0
ST_002,S_017,conceptual,1,5.0,2,2,1,0
ST_088,S_018,conceptual,0,44.537651340764086,3,5,1,1
ST_030,S_019,actionable,0,29.38441696744151,6,5,1,0
ST_038,S_020,actionable,1,59.1922832384206,3,4,1,1
ST_002,S_021,conceptual,0,29.372394416940605,1,4,1,1
ST_064,S_022,actionable,1,76.47080445233937,7,4,1,0
ST_060,S_023,actionable,1,32.110164760859504,3,3,1,0
ST_021,S_024,actionable,0,32.92458323920589,2,5,1,1
ST_033,S_025,conceptual,0,83.71034572919086,1,4,1,1
ST_076,S_026,actionable,1,20.665892559524682,5,4,0,1
ST_058,S_027,conceptual,0,5.755518215611958,3,4,1,1
ST_022,S_028,conceptual,0,5.0,3,1,1,1
ST_089,S_029,actionable,1,56.282298106503426,6,3,1,0
ST_049,S_030,conceptual,0,38.73595868242718,5,5,1,1
ST_091,S_031,actionable,0,48.706613911915056,1,2,0,0
ST_059,S_032,conceptual,1,9.579259739737738,2,4,0,0
ST_042,S_033,conceptual,0,5.864502049131146,2,3,0,0
ST_092,S_034,conceptual,0,5.0,4,4,0,0
ST_060,S_035,actionable,1,17.26749046060277,1,3,1,1
ST_080,S_036,conceptual,0,35.65589502659778,3,4,0,0
ST_015,S_037,actionable,1,19.919274702446028,5,5,1,1
ST_062,S_038,actionable,1,23.01278251313725,6,3,1,0
ST_062,S_039,actionable,0,93.80246091925767,2,4,1,1
ST_047,S_040,conceptual,0,17.12410457700447,5,4,1,1
ST_062,S_041,conceptual,0,28.861001122892844,1,4,1,0
ST_051,S_042,actionable,0,61.234869508788066,5,5,1,0
